stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\Chris\Dropbox\Chris Mahon = Final Year Project\src\Game\2DPlatformer\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.06643] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.06645] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06648] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.06651] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06653] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06656] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06659] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06666] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06670] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06672] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06675] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06677] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06680] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06682] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06685] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06687] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06693] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06695] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06698] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.06700] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06703] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.06705] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06708] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06710] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06713] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06715] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06718] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06720] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06723] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06725] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06728] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06731] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06734] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06736] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06739] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06742] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06745] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.06748] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06750] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.06753] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06756] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06758] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06761] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06764] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06767] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06770] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06775] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06778] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06781] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06785] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06789] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06792] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06797] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06800] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06804] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.06807] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06811] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.06814] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06818] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06821] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06825] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06828] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06832] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06836] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06841] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06845] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06850] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06854] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06859] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06862] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06867] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06870] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06874] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.06877] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06880] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.06883] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06887] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06891] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06894] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06898] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06902] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06905] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06909] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06913] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06917] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06920] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06924] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06928] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06933] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06937] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06943] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.06945] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06948] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.06951] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06954] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06956] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.06959] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.06961] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06964] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.06967] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06969] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.06972] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06975] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.06977] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06986] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.06991] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.06995] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.06998] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07003] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.07006] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07010] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.07014] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07018] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.07022] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07026] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.07029] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07034] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.07037] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07044] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.07047] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07051] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.07054] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07058] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.07060] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07064] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.07066] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07070] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.07072] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07075] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.07078] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07081] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07083] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07087] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07090] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07093] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07096] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07103] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07106] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07109] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07112] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07115] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07118] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07121] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07124] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07128] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07131] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07134] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07137] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07141] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07143] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07147] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07150] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07154] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07157] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07161] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07164] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07168] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07171] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07174] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07177] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07180] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07183] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07187] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07189] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07193] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07196] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07200] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07203] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07207] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07210] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07213] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07216] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07219] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07222] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07226] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07230] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07234] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07238] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07243] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07246] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07250] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07255] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07259] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07262] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07270] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07275] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07278] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07283] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07287] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07295] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07301] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07305] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07309] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07313] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07318] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07322] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07326] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07334] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07337] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07342] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07346] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07351] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07355] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07359] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07362] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07367] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07371] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07375] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07379] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07383] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07387] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07391] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07395] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07399] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07402] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07406] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07409] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07423] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07428] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.07431] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07434] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07437] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07441] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07445] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.07448] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.07451] Single Buffer requirement not met.
